TIMESTAMP,POWER,U10,V10,U100,V100
20170126 20:00,0.534284698918057,-4.291919999999999,5.47516,-5.4652199999999995,8.03173
20150331 10:00,0.8324714753190909,8.256210000000001,0.52949,11.6158,0.453276
20160118 14:00,0.6367150833339129,6.563910000000001,3.16535,9.69997,4.51196
20170203 18:00,0.519001464327424,-4.52355,2.6461,-5.981730000000001,4.05808
20150217 21:00,0.80452369103313,6.7633600000000005,1.0379200000000002,10.9683,0.9898809999999999
20160909 12:00,0.498997802459925,3.0951400000000002,2.64297,3.78761,3.11045
20170408 10:00,0.296323408480281,5.168019999999999,-1.4093200000000001,6.92087,-2.6594700000000002
20160312 23:00,0.16051166495509803,-2.5385299999999997,1.57676,-3.5047699999999997,3.09648
20151226 08:00,0.24075165949642002,-4.114269999999999,-1.47271,-6.18656,-1.87211
20150317 00:00,0.554410536711939,-6.767289999999999,0.631811,-10.8096,1.9543099999999998
20160123 03:00,0.7047348051598191,-0.9031170000000001,4.90345,-0.470979,7.77526
20150303 09:00,0.893499468705202,7.854360000000001,2.7397099999999996,10.741,3.5952900000000003
20170607 04:00,0.921945341956798,1.50409,10.0875,2.39025,13.3268
20180123 01:00,0.52778729146323,-3.70382,3.5773900000000003,-4.5125,4.632280000000001
20151111 10:00,0.280535501883373,3.67,0.9722700000000001,5.774780000000001,1.00261
20171221 21:00,0.446689395716072,6.29631,-2.99612,8.74062,-4.70032
20150125 02:00,0.38658986358683795,3.76698,-2.71525,6.31214,-5.1677
20151227 23:00,0.799563419915625,6.48586,-3.69715,9.15263,-5.297999999999999
20171016 20:00,0.6141727318719339,-1.0110299999999999,8.42198,-0.5631079999999999,13.0672
20150224 19:00,0.8913188178474308,6.90349,4.6852599999999995,10.7944,6.684710000000001
20161002 02:00,0.271488376021545,-4.779059999999999,1.40916,-5.93869,2.3552299999999997
20160129 03:00,0.9618635285524281,8.320730000000001,7.03118,12.7939,9.827060000000001
20160317 08:00,0.340579138071248,4.69475,-0.631016,6.59727,-1.4398799999999998
20170407 16:00,0.7239226811902,6.35251,-5.4213,8.36175,-7.986000000000001
20160801 10:00,0.758889893385025,7.71547,-0.058557500000000005,8.99871,-0.21006599999999997
20170506 05:00,0.0371347217496092,-0.778958,1.20528,-1.52322,1.9160400000000002
20160910 21:00,0.406507142016617,0.31346,6.833060000000001,1.39216,10.0877
20150615 13:00,0.721754443727371,5.80045,-5.0279300000000005,7.11765,-6.24871
20160221 00:00,0.847410189106175,9.4673,1.01516,13.8013,1.16311
20150105 17:00,0.0226749543071928,0.385346,2.42216,1.8227099999999998,3.7169199999999996
20171210 15:00,0.876929414519653,-1.9749,7.6757800000000005,-2.35602,9.63815
20160418 04:00,0.8888152325138101,6.991169999999999,5.07566,9.83279,6.46526
20170630 08:00,0.10535479530469401,-1.9723400000000002,-4.2070300000000005,-2.85823,-5.19758
20170412 23:00,0.89157490343885,10.8647,-4.06827,14.2747,-5.6289
20150604 06:00,0.471076897223894,4.04825,1.9518,5.22116,2.32103
20180122 13:00,0.5948299622523671,-5.405819999999999,5.08261,-6.5776699999999995,6.31511
20161223 10:00,0.486827426802324,6.04701,3.59615,8.69172,4.52485
20170819 08:00,0.6760729798025921,5.49067,5.21315,6.53354,6.067769999999999
20150421 19:00,0.8666064069534319,5.87744,-4.7432099999999995,8.61483,-7.42815
20171001 19:00,0.9628952178243381,-2.52917,10.4602,-3.01432,14.7947
20170407 21:00,0.82548581304555,5.38471,-5.69835,7.362239999999999,-8.35191
20150529 06:00,0.7874275554530351,5.38433,3.5094300000000005,7.1090800000000005,4.50579
20160102 07:00,0.785141833316779,-9.15777,2.81058,-12.9442,4.381869999999999
20170627 02:00,0.6444521706210601,4.96392,-5.01843,5.99239,-6.0336300000000005
20150220 01:00,0.9388105002090441,6.12386,7.697010000000001,9.52188,11.1106
20150712 06:00,0.4683292682061861,3.7180400000000002,0.612254,4.995480000000001,0.516528
20150828 22:00,0.8339380884878922,7.07325,2.86299,10.0372,3.93749
20161017 18:00,0.601875646887579,-2.50692,4.75685,-3.07193,6.857539999999999
20170719 23:00,0.4967131540562221,-6.68387,2.0758900000000002,-9.80606,3.7890099999999998
20150406 23:00,0.380268605067759,2.9147,0.676689,5.9102,0.466229
20170312 16:00,0.571133546985158,-5.80743,2.88352,-8.26342,4.5131
20161003 06:00,0.321275300223111,-3.88846,-6.26826,-5.2423,-8.07218
20151017 15:00,0.0380794542925716,-3.3967300000000002,-1.71202,-5.03924,-2.22612
20160627 01:00,0.87956288406351,7.317480000000001,5.24566,9.289539999999999,6.45982
20180108 15:00,0.120934178190657,-4.07055,0.7653760000000001,-5.97657,1.91432
20160726 20:00,0.13823067289857902,2.64296,2.10142,3.32493,2.5427400000000002
20170918 22:00,0.0378583396356073,1.33332,-0.7596470000000001,1.63299,-1.0047
20170602 02:00,0.128819447585381,2.82986,1.54824,3.82266,1.7664099999999998
20150422 02:00,0.922649749136054,2.49873,-7.85884,3.54874,-12.9452
20171231 01:00,0.13775176153045002,2.3126,3.3398,4.69169,4.19412
20170416 17:00,0.826758469881214,5.9587900000000005,-5.7560199999999995,7.31468,-7.2784
20150306 22:00,0.74190223591914,4.43372,6.1722,7.069489999999999,8.89011
20170924 18:00,0.128102989959065,-4.54051,-0.142766,-7.58327,0.360266
20170509 05:00,0.223210884623262,3.80134,2.18838,4.65404,2.50806
20171127 18:00,0.23452203759231102,6.89295,2.11225,8.57185,2.51152
20171209 12:00,0.895175441283333,10.8077,-6.143,13.2934,-7.56062
20160606 20:00,0.0268720563523051,0.7411260000000001,-1.05501,0.169646,0.651175
20150919 02:00,0.23989465830993,2.78957,-1.21074,4.61241,-2.13685
20151206 02:00,0.9931800388071659,10.5565,9.663,15.6891,13.5919
20150524 23:00,0.548189919779971,4.82645,-0.885468,6.81025,-1.35742
20150107 18:00,0.789944682182626,4.1807,7.0274,6.83723,10.1835
20160910 08:00,0.522495766328958,1.2892700000000001,6.873469999999999,2.17928,9.02537
20180109 05:00,0.8314270859381508,-8.68393,2.4502599999999997,-13.0967,4.28942
20160525 05:00,0.175206674541674,-3.28546,-2.27465,-5.38534,-2.85188
20170612 10:00,0.940599260086687,10.2735,1.9944099999999998,13.6155,2.3275799999999998
20151017 08:00,0.108555936819732,-4.30166,-2.67775,-6.1471599999999995,-3.64621
20150121 15:00,0.0481966541136898,-1.56742,0.668335,-2.2804599999999997,1.45137
20160827 20:00,0.227195784264941,-2.87668,-2.40155,-4.2032300000000005,-3.3885099999999997
20171023 01:00,0.12502977345259,-4.32954,0.307121,-5.23781,1.9753
20160323 08:00,0.7145635860504972,2.3532,-7.24976,2.69761,-9.61852
20170118 21:00,0.546066951770072,6.07463,1.0347899999999999,9.20265,0.716903
20160704 20:00,0.19376968823922103,3.29857,1.2386700000000002,4.05293,1.45233
20180115 13:00,0.987124958519277,-0.874972,14.6615,-0.492547,22.2551
20160324 14:00,0.46585731339688896,3.47744,4.366680000000001,5.31312,5.79146
20160208 09:00,0.9417074961590609,3.6274699999999998,10.6297,5.74295,15.2988
20150202 13:00,0.0236266656946842,0.743987,-2.3963400000000004,1.07231,-3.03203
20171008 03:00,0.166298419179851,1.30922,-6.23062,1.66923,-7.93421
20171118 02:00,0.9668053380524879,11.7867,2.49843,15.3031,3.11315
20161030 14:00,0.00972708906816354,0.761458,-1.1155899999999999,1.14069,-1.7134200000000002
20160121 06:00,0.149232704021894,-1.9289900000000002,2.65706,-1.71511,5.30888
20160503 16:00,0.625828431747151,6.27401,-2.00659,8.05368,-2.92772
20170812 12:00,0.7136430773771658,6.34675,-0.272183,7.4673,-0.35886999999999997
20170720 01:00,0.620373450476406,-6.18238,2.13548,-9.723180000000001,4.11875
20170218 07:00,0.32808742187253603,4.1614,-1.42507,6.03359,-2.48247
20150814 10:00,0.728013158479971,-10.0573,2.57659,-13.6948,3.6981800000000002
20170430 01:00,0.162012917830686,-4.79729,1.8066400000000002,-6.854539999999999,3.71297
20150507 17:00,0.66961713076504,6.3335,0.520899,8.387830000000001,0.559235
20160916 11:00,0.7547906456381122,-5.549119999999999,3.7703800000000003,-7.366389999999999,4.90932
20171228 23:00,0.8104952449388411,7.2784699999999996,0.247683,9.73376,-0.129303
20180116 19:00,0.0026193160764915397,8.47869,0.47405699999999995,10.7365,0.501598
20171213 23:00,0.81896988454592,3.10644,9.85161,4.25004,12.8685
20150519 19:00,0.848078111609447,5.32684,5.00097,7.514589999999999,6.82879
20150606 22:00,0.9133368058345319,6.8010600000000005,6.68078,10.3049,9.4227
20160816 07:00,0.120653538438744,0.11071900000000001,-3.6419099999999998,0.200525,-4.14093
20160310 11:00,0.13294277073766197,-2.4049,0.301431,-3.56854,0.518989
